sample_id,fg_area_ratio,fg_area_ratio_valid,empty_space_ratio,empty_space_ratio_valid,bbox_area_ratio,bbox_area_ratio_valid,centroid_x_norm,centroid_x_norm_valid,centroid_y_norm,centroid_y_norm_valid,top_mass_ratio,top_mass_ratio_valid,bottom_mass_ratio,bottom_mass_ratio_valid,stroke_darkness_mean,stroke_darkness_mean_valid,stroke_darkness_std,stroke_darkness_std_valid,component_count_norm,component_count_norm_valid,skeleton_break_count_norm,skeleton_break_count_norm_valid,shading_ratio,shading_ratio_valid,unique_hue_count,unique_hue_count_valid,warm_ratio,warm_ratio_valid,dark_color_ratio,dark_color_ratio_valid,sharp_angle_ratio,sharp_angle_ratio_valid,dominant_orientation_abs,dominant_orientation_abs_valid,figure_integrity_proxy,figure_integrity_proxy_valid
107-3C-763-F-S,0.17093080282211304,1,0.829069197177887,1,0.994140625,1,0.4910789728164673,1,0.48387524485588074,1,0.5251412391662598,1,0.47485876083374023,1,0.28509631752967834,1,0.20697021484375,1,31.023393630981445,1,89.83296203613281,1,0.09567248821258545,1,9.0,1,0.37237370014190674,1,7.013984577497467e-05,1,0.09685039520263672,1,0.0014762169448658824,1,0.3418616056442261,1
107-3E-1177-F-S,0.0323236808180809,1,0.9676763415336609,1,0.6748532652854919,1,0.578280508518219,1,0.4045866131782532,1,0.43682190775871277,1,0.5631781220436096,1,0.4107893705368042,1,0.27934330701828003,1,5.287465572357178,1,11.384237289428711,1,0.3096311092376709,1,6.0,1,0.10289628803730011,1,0.006506819743663073,1,0.12844036519527435,1,0.483905553817749,1,0.3002740740776062,1
107-3F-542-M-S,0.08535479754209518,1,0.9146451950073242,1,1.0,1,0.449010968208313,1,0.4988636076450348,1,0.47882428765296936,1,0.521175742149353,1,0.47172078490257263,1,0.2523653209209442,1,9.280041694641113,1,30.64571762084961,1,0.40335020422935486,1,7.0,1,0.2598689794540405,1,0.001284098718315363,1,0.11999999731779099,1,0.09292275458574295,1,0.20670752227306366,1
107-3F-585-M-S,0.1272822469472885,1,0.8727177381515503,1,1.0,1,0.4718874394893646,1,0.5409453511238098,1,0.3937094509601593,1,0.6062905192375183,1,0.3782345950603485,1,0.18131689727306366,1,42.29972457885742,1,68.25146484375,1,0.07947946339845657,1,9.0,1,0.9256970286369324,1,0.00019423342018853873,1,0.12547169625759125,1,0.0016588508151471615,1,0.254564493894577,1
107-4A-380-M-S,0.07296162843704224,1,0.9270383715629578,1,0.9850872159004211,1,0.43915125727653503,1,0.4840886890888214,1,0.5388597249984741,1,0.4611402750015259,1,0.12929488718509674,1,0.08472912013530731,1,16.078210830688477,1,30.537811279296875,1,0.0,1,8.0,1,0.053331248462200165,1,0.0,1,0.09327846020460129,1,0.40051206946372986,1,0.14592325687408447,1
107-4D-76-F-S,0.22453923523426056,1,0.7754607796669006,1,1.0,1,0.503035843372345,1,0.42454907298088074,1,0.6120575666427612,1,0.38794243335723877,1,0.46688807010650635,1,0.17678037285804749,1,70.30171203613281,1,156.35791015625,1,0.15558545291423798,1,11.0,1,0.09190661460161209,1,0.004850440192967653,1,0.13298127055168152,1,0.0236243586987257,1,0.4490784704685211,1
107-4F-1147-F-S,0.22141531109809875,1,0.7785846590995789,1,1.0,1,0.5127859115600586,1,0.4488637149333954,1,0.589063823223114,1,0.4109362065792084,1,0.4633871018886566,1,0.23074984550476074,1,38.954593658447266,1,108.71676635742188,1,0.20147180557250977,1,12.0,1,0.7270127534866333,1,0.020858511328697205,1,0.11731843650341034,1,0.1114712730050087,1,0.4428306221961975,1
107-4F-480-F-S,0.15228979289531708,1,0.8477101922035217,1,1.0,1,0.5072577595710754,1,0.5276584625244141,1,0.4856160879135132,1,0.5143839120864868,1,0.3573649525642395,1,0.2772590219974518,1,23.631732940673828,1,72.62171936035156,1,0.2290087193250656,1,7.0,1,0.9456420540809631,1,0.013790572993457317,1,0.206554114818573,1,0.10776867717504501,1,0.30457958579063416,1
107-4F-662-F-S,0.04196520894765854,1,0.9580348134040833,1,0.9609375,1,0.3914529085159302,1,0.5092743039131165,1,0.5021856427192688,1,0.4978143572807312,1,0.47276127338409424,1,0.24396517872810364,1,4.586067199707031,1,14.513553619384766,1,0.15428130328655243,1,3.0,1,0.0,1,0.00200168346054852,1,0.15186245739459991,1,0.09863775223493576,1,0.3546270728111267,1
107-4F-871-M-S,0.12954290211200714,1,0.870457112789154,1,1.0,1,0.4282585680484772,1,0.578552782535553,1,0.41137024760246277,1,0.5886297225952148,1,0.4050885736942291,1,0.20551861822605133,1,17.31914710998535,1,56.92118453979492,1,0.1270304024219513,1,7.0,1,0.9361318945884705,1,0.007888034917414188,1,0.17665615677833557,1,0.013152752071619034,1,0.2590858042240143,1
108-3E-1826-F-S,0.029733899980783463,1,0.9702661037445068,1,0.447265625,1,0.3965761661529541,1,0.5283977389335632,1,0.3545635938644409,1,0.6454364061355591,1,0.23005183041095734,1,0.16744814813137054,1,7.553522109985352,1,13.70424747467041,1,0.008165487088263035,1,8.0,1,0.18010152876377106,1,0.0,1,0.17283950746059418,1,0.18884721398353577,1,0.18179169297218323,1
